,profit
BOSCHLTD,93822.93100000001
INFY,372541.088
HDFC,385223.677
YESBANK,150500.44900000002
COALINDIA,-40999.013999999996
IDEA,-76857.052
ICICIBANK,96650.25
JSWSTEEL,338969.368
SUNPHARMA,354861.08400000003
VEDL,227987.9
TATASTEEL,34656.284
BHEL,-1803.6329999999998
UNITECH,-86577.5
DLF,-76213.21800000001
POWERGRID,53911.364
BHARTIARTL,-22745.432999999997
ABB,-44872.395
HEROMOTOCO,158085.21
RELINFRA,-3373.3299999999945
NESTLEIND,539925.224
BPCL,199810.82299999997
TCS,856125.432
SBILIFE,15725.032
IOC,61941.240999999995
HDFCBANK,287020.237
RPOWER,-8596.834000000003
MCDOWELL-N,94446.32
TITAN,1099548.3569999998
SAIL,56494.706999999995
JPASSOCIAT,101743.095
AUROPHARMA,1553722.4239999996
PNB,-15217.343000000015
WIPRO,103794.134
SHREECEM,548748.0669999999
ZEEL,167333.55299999999
SUZLON,-72653.84999999999
APOLLOHOSP,1264041.6099999999
MARUTI,256233.58899999998
GAIL,138070.807
ACC,59192.546
SBIN,-31925.621
JINDALSTEL,158140.91100000002
IDFC,-41432.42600000001
TATACONSUM,565266.52
RCOM,4472.978000000003
HINDPETRO,106099.423
BAJAJFINSV,1050188.5050000001
BANKBARODA,9721.764999999985
DIVISLAB,617374.4789999999
NTPC,-47008.91
EICHERMOT,4222252.913999999
ULTRACEMCO,76613.943
ONGC,-10446.917000000001
DRREDDY,309514.074
NMDC,-83829.03600000001
AXISBANK,74016.10299999999
HINDUNILVR,501228.753
LT,83730.032
ADANIPORTS,90225.03899999999
LUPIN,974433.806
ITC,142002.47500000003
TECHM,381680.325
HCLTECH,1054678.245
TATAMOTORS,282216.551
GRASIM,105970.77100000001
TATAPOWER,255916.33999999997
BAJAJ-AUTO,438357.77999999997
KOTAKBANK,239899.09399999998
UPL,437931.407
RELIANCE,33345.84599999999
ASIANPAINT,1035727.091
AMBUJACEM,78933.1
INDUSINDBK,1961197.0700000003
CIPLA,42822.683000000005
BAJFINANCE,13237505.291
SIEMENS,122062.89599999998
HINDALCO,244691.315
HDFCLIFE,2106.807
RELCAPITAL,-28075.612
BRITANNIA,962760.891
IBULHSGFIN,94935.94700000001
